row_index,key,contoh,googlecontoh
16,-an,"buatan, catatan; didikan","artificial, notes; upbringing"
17,-an,makanan; bacaan,food; reading
18,-an,kubangan; pangkalan; tepian; awalan,pool; base; edge; prefix
19,-an,sedotan; timbangan,straw; scales
20,-an,tembakan,shot
21,-an,puluhan; ribuan; sayuran; daratan; lautan,tens; thousands; vegetables; land; ocean
22,-an,durian; rambutan,durian; rambutan
23,-an,gunungan; piringan,mountain; disc
24,-an,manisan; asinan,sweets; pickles
25,-an,tinggian; besaran,height; magnitude
26,-an,jualan; pacaran,selling; dating
27,-an,lebaran; natalan; syukuran,Eid; Christmas; thanksgiving
28,-anda,ayahanda; ibunda; pamanda,father; mother; uncle
30,-da,ayahanda; ibunda; pamanda,father; mother; uncle
31,-el-,pelatuk,trigger
32,-el-,telapak; telunjuk,palm; index finger
33,-el-,gelembung,bubble
34,-el-,geligi,teeth
35,-el-,geleser; kelupas,peel off; peel off
36,-em-,gemunung; temali,mountains; rigging
37,-em-,gemerlap,sparkling
38,-er-,seruling,flute
39,-er-,gerigi,gears
40,-er-,geresek,rustling
43,-i,alami; alamiah; badani; badaniah; duniawi; duniawiah; surgawi; gerejani,natural; natural; bodily; bodily; worldly; earthly; heavenly; ecclesiastical
44,-i,sampuli; selimuti; pagari,cover; envelop; fence
45,-i,lempari; pukuli; sirami,pelt; beat; splash
47,-iah,alami; alamiah; badani; badaniah; duniawi; duniawiah; surgawi; gerejani,natural; natural; bodily; bodily; worldly; earthly; heavenly; ecclesiastical
48,-if,kohesif; relatif; responsif,cohesive; relative; responsive
49,-in-,kinerja; kinasih,performance; love
50,-in-,sinambung,continuous
51,-is,astronomis; psikologis; strategis,astronomical; psychological; strategic
52,-is,jurnalis; kartunis; linguis,journalist; cartoonist; linguist
53,-isme,terorisme; liberalisme; komunisme,terrorism; liberalism; communism
54,-itas,loyalitas; intensitas,loyalty; intensity
55,-kah,mungkin -kah dia kembali?; berenang atau berlari-kah kawanmu itu?,maybe - is he coming back?; is your friend swimming or running?
56,-kah,siapa -kah yang mau membantuku?,Who wants to help me?
57,-kan,jalankan; datangkan; hitamkan,run; bring; blacken
58,-kan,dengarkan; camkan,listen; take note
59,-kan,sewakan; bacakan,rent; read
60,-ku,-kuambil; -kutangkap,-I took; -I caught
61,-ku,rumah-ku; sepeda-ku,my house; my bike
62,-ku,memukul-ku; menghampiri-ku,hit me; come to me
63,-ku,rumahku; sepedaku,my house; my bike
64,-ku,memukulku; menghampiriku,hit me; come to me
66,-man,ilmuwan; budayawan; seniman,scientist; cultural figure; artist
67,-man,karyawati; wartawan,employee; journalist
68,-man,dermawan; hartawan; rupawan; bangsawan,philanthrope; tycoon; handsome; nobleman
69,-mu,bukumu; sepedamu,your book; your bike
71,-nda,ayahanda; ibunda; pamanda,father; mother; uncle
73,-ni,alami; alamiah; badani; badaniah; duniawi; duniawiah; surgawi; gerejani,natural; natural; bodily; bodily; worldly; earthly; heavenly; ecclesiastical
74,-nya,rumahnya; mengambilnya; memperolehnya,his house; took it; got it
75,-nya,barangnya sudah jadi; terima kasih atas usulannya,the item is ready; thank you for your suggestion
76,-nya,cantik-nya-; besar-nya-; kurus-nya-,beautiful-; big-; thin-
77,-sentris,egosentris; geosentris,egocentric; geocentric
78,-wan,ilmuwan; budayawan; seniman,scientist; cultural figure; artist
79,-wan,karyawati; wartawan,employee; journalist
80,-wan,dermawan; hartawan; rupawan; bangsawan,philanthrope; tycoon; handsome; nobleman
82,-wati,ilmuwan; budayawan; seniman,scientist; cultural figure; artist
83,-wati,karyawati; wartawan,employee; journalist
84,-wati,dermawan; hartawan; rupawan; bangsawan,philanthrope; tycoon; handsome; nobleman
86,-wi,alami; alamiah; badani; badaniah; duniawi; duniawiah; surgawi; gerejani,natural; natural; bodily; bodily; worldly; earthly; heavenly; ecclesiastical
88,-wiah,alami; alamiah; badani; badaniah; duniawi; duniawiah; surgawi; gerejani,natural; natural; bodily; bodily; worldly; earthly; heavenly; ecclesiastical
